A: 	dit zijn die zeggen maar die emmer en dan hebben je twee van die rechthoekig boven elkaar zitten 
A: 	en dan hebben je boven 
A: 	ja dat alleen dan dan plat zeggen maar 
B: 	en één en een staart 
B: 	ja en dan een staart aan de achterkant 
A: 	ja zo'n staart aan de achterkant 
B: 	aan de aan de aan de linkerkant 
A: 	ja zo'n staart onder en dan ja in het midden hebben je dan ook nog zo'n ding zitten 
B: 	ja 
B: 	dat zijn I 
B: 	dit zijn die twee staf naar voren het staart en dat driehoekig dat plat driehoek bovenop 
B: 	dus met de driehoek maar dan maar dan 
A: 	met die plat driehoek bovenop 
B: 	ja 
B: 	en dan die twee twee ding naar buiten 
A: 	ja ja en daaronder die ronde 
B: 	ja exact 
A: 	ja dat zijn twee 
A: 	ja dit zijn weer die emmer met die twee rechthoeak aan de zijkant 
A: 	zo boven elkaar zeggen maar 
B: 	ja 
A: 	en dan die die 
B: 	en dan die plat driehoek 
A: 	plat driehoek ja 
B: 	ja 
B: 	dat zijn M 
B: 	dit zijn die twee balk het staart en de plat driehoek 
A: 	yes negen 
A: 	ja dit zijn die emmer met die twee rechthoeak boven elkaar zeggen maar 
A: 	aan de zijkant en die 
B: 	ja 
B: 	plat driehoek 
A: 	plat driehoek ja 
B: 	ja 
B: 	dat zijn F 
B: 	dit zijn die twee buisje die twee staaf en de plat driehoek 
A: 	oké zes 
