B: 	ja ik zien het een beetje als een soort van ballerina het hebben zeggen maar het zijn een pot met een vierkant plaat om zich heen 
A: 	ja 
A: 	ik hebben dat ook precies zo'n tutu 
B: 	ja zo'n tutuu 
A: 	ja ik weten welk je bedoelen 
B: 	ja 
B: 	oké 
A: 	oké 
A: 	dat zijn dan nummer zes 
A: 	dit zijn die een met die vierkant tutu 
B: 	ja 
B: 	dat zijn C 
B: 	dit zijn weer dat poppe met het tutuu 
A: 	ah ja dat zijn nummer dertien 
A: 	dit zijn met die tutu 
B: 	oké 
B: 	dat zijn J 
B: 	dit zijn weer met het tutuu 
A: 	dat zijn nummer negen 
A: 	dit zijn met die tutu 
B: 	ja 
B: 	dat zijn N 
