A: 	top 
B: 	gaan wel goed 
B: 	ja oké 
B: 	het zijn hij hebben een vierkantje aan de voorkant gewoon een plat vierkantje 
A: 	ja we 
A: 	ja 
B: 	en twee van die gebouw aan de of ja die legoding aan de zijkant 
A: 	en dan twee van die 
A: 	ja 
A: 	en nog één antennetje bovenop 
B: 	ja precies 
A: 	ja vogelnes 
A: 	nummer twee 
A: 	deze hebben weer zo'n antennetje bovenop en dan dat vierkantje zo aan de voorkant een beetje tegenaan plakken en die 
A: 	twee legoblok zeggen maar legoblokdingen aan de zijkant 
B: 	ja ja 
B: 	ja 
B: 	dat zijn G bij mij 
B: 	weer die twee legoblok 
A: 	ja 
B: 	aan de zijkant met dat vierkant plat 
A: 	met de vierkant plat en het antenne 
B: 	yes 
B: 	yes 
A: 	nummer negen 
A: 	oké 
A: 	deze zijn weer met het antenne bovenop en de twee legoblok aan één kant en het vierkantje voorop 
B: 	het vierkant ja 
B: 	dat zijn D bij mij 
B: 	het zijn weer die twee legoblok 
B: 	met dat vierkant aan de voorkant 
A: 	ja 
A: 	waar 
B: 	en die antenne 
A: 	twee legoblok zeggen je 
B: 	twee legoblok yes 
A: 	ja met de ja nummer één 
B: 	en dat vierkantje 
B: 	oké 
A: 	deze zijn weer met de twee legoblok aan die kant en het vierkantje voorop antennetje 
B: 	yes 
B: 	B bij mij 
