A: 	ja deze hebben een soort van cirkele plaat aan de rechterkant 
A: 	en aan de linkerkant een soort pin met ja wat zijn het een een soort schoorsteen die van smal naar dikk gaan die omhoog wijzen 
B: 	ja ja 
B: 	ja ja ja dat het het aan de linkerkant lijken het een beetje op een hondenkluif 
A: 	ja 
B: 	juist 
A: 	en aan de rechterkant zijn zo'n plaat die over horizontaal echt 
B: 	ja 
B: 	okee ja dat zijn g 
B: 	ja dit zijn jou schoorsteen en hondenkluif en plateau 
A: 	ja 
A: 	nummer zeven 
B: 	ja het lijken wel alsof hij een pijp roken 
A: 	ja 
B: 	ja 
A: 	dit zijn weer de schoorsteen 
B: 	de schoorsteen 
B: 	juist juist 
B: 	met met het hondenkluif 
A: 	ja 
B: 	dat zijn p 
B: 	schoorsteen en hondenkluif 
A: 	nummer twee 
A: 	de hoe heten dat nou schoorsteen 
A: 	met de plaat de die rond plaat rechts 
B: 	ja de schoorsteen ja ja ja 
B: 	ik zoeken hem ik zoeken hem 
B: 	ja hier dat zijn j 
B: 	schoorsteen 
A: 	ja dat zijn twee 
