B: 	dit zijn volgens mij het veel symmetrisch plaat dat er zijn alleen zijn net vanaf de linkerkant een beetje een foto nemen 
B: 	het zijn twee van die uitstekend armpjes met drie klein rui 
B: 	en rond cirkel voorop 
A: 	met zo'n vierkant waar die op staat 
B: 	ja dat ook nog ja 
A: 	ja oké ja 
A: 	dat zijn vijf bij mij 
A: 	dit zijn waarvan jij zeggen dat die het veel symmetrisch zijn 
A: 	met die met die drie rui aan ieder kant 
B: 	ja ja 
B: 	dat zijn J 
B: 	dit zijn de symmetrisch 
B: 	met 
A: 	dat zijn elf 
B: 	oké 
A: 	dit zijn die symmetrisch 
B: 	dat zijn P 
B: 	dit zijn de symmetrisch 
A: 	dat zijn negen 
A: 	dit zijn de symmetrisch 
B: 	dat zijn L 
