B: 	ja dit zijn deze hebben ook zo'n eivorm aan de voorkant 
A: 	ja 
B: 	maar dan niet met zo'n staaf erdoorheen 
A: 	ja 
A: 	met zo'n rechthoek bovenop 
B: 	ja en dan nog een penseelachtig ding 
A: 	ja zo'n ding 
A: 	bij mij zijn dat veertien 
A: 	ik hebben die een met dat ei aan de rechterkant 
B: 	ja en de twee ding bovenop 
A: 	ja 
B: 	dat zijn N 
B: 	ik hebben die een met het ei aan de voorkant en twee ding boven 
A: 	ja dat zijn bij mij nummer negen 
A: 	ik hebben die met het ei aan de aan de rechterkant sorry en dat vierkantje en die kegel bovenop 
B: 	ja 
A: 	of penseel 
B: 	dat zijn G 
B: 	ik hebben die een met het ei rechts en de twee ding bovenop 
A: 	ja nummer vijf 
A: 	ik hebben die een met dat ei aan de rechterkant en de kegel en het staaf bovenop 
B: 	ja dat zijn J 
