B: 	okee deze hebben een aardappelneus 
B: 	tenminste zo'n groot ronde neus 
B: 	en een soort ja wat zijn het een soort 3D-ruit vanuit zijn hoofd steken en een staaf uit zijn hoofd 
B: 	en ook een klein driehoekig staaf uit de zijkant van zijn hoofd 
A: 	okee 
A: 	dertien 
A: 	deze hebben een aardappelneus een bol neus 
A: 	en precies in het midden een staaf recht overeind en zijn oor zijn eigenlijk een ook een staaf met een driehoekvorm 
A: 	en dan zijn er nog één 
B: 	ik zijn al even op zoek 
A: 	ja 
A: 	dit zijn het driehoeksoor 
B: 	de staaf komen door de neus heen 
A: 	nee dat zijn het niet 
B: 	okee 
A: 	het oor zijn dus zeggen maar een driehoek 
A: 	driehoeksstaafvorm daar zijn er maar één van 
B: 	ja en hij hebben een soort raar punt 
A: 	twee staf op hoofd 
B: 	ja en nog een staaf okee 
A: 	van verschilen vorm 
B: 	dan zijn het e 
A: 	ja 
B: 	deze hebben een aardappelneus 
B: 	hebben twee verschillend ding bovenop zijn hoofd 
B: 	en aan de linkerkant nog een driehoekigvormig 
A: 	ja negen 
A: 	deze hebben een driehoek een driehoeksoor 
A: 	aardappelneus 
B: 	en twee verschillend 
A: 	een staaf en een hendel of ja staaf ja 
B: 	ja dat zijn i 
B: 	aardappelneus twee verschillend ding op zijn hoofd en één driehoeksding link 
A: 	ja 
A: 	ja dat zijn zes 
A: 	driehoeksoor 
B: 	ja met aardappelneus 
A: 	aardappelneus 
B: 	dat zijn p 
A: 	misschien zijn dat een beetje een indiaan 
B: 	ja 
