B: 	oké one's even zien ja het lijken op een theekopje met één 
B: 	laten maar zeggen een rod 
B: 	een een een een een een rond staaf 
A: 	ja 
B: 	die aan de linkerkant erin opsteken 
B: 	een rond aan de achterkant erop plakken en een 
B: 	een soort ja lepel alleen dan niet een lepelvorm maar de uiteinde van een lepel aan de rechterkant die erin opsteken 
A: 	en een rond links linksboven aan de achterkant een beetje 
B: 	ja 
A: 	dus en de de staaf zeggen maar aan de linkerkant die zijn niet helemaal rond zeggen maar die zijn dat zijn 
B: 	ja 
B: 	die zijn niet rond 
B: 	nee precies 
A: 	ja oké 
B: 	en dan hebben hij onder ook nog een soort steunsel waar die op leunen 
A: 	ja een soort badkuipvormachtig 
B: 	ja 
A: 	ja oké dan dertien 
A: 	ja de soort volgens mij noemen jij het de theepot met aan de achterkant een half rond met een met een lepeltje er nog eruit of zo 
B: 	ja met een lepeltje en dan aan de linkerkant dat dinge en onderin de badkuip 
A: 	ja 
A: 	precies 
A: 	ja 
B: 	O 
A: 	en weer opnieuw 
B: 	ja nou deze zijn ik weten niet veel hoe we hem hebben noemen maar met dat rond achterop plakken 
B: 	ja ik noemen het theekopje 
A: 	ja ja ja ja 
A: 	rond achterop plakken stengel bovenuit 
B: 	ja 
A: 	ja 
A: 	die blijven we gewoon theekopje houden 
B: 	theekopje 
B: 	prima 
A: 	acht 
A: 	het theekopje met dat ja gewoon het normaal theekopje 
A: 	dus niet die met die driehoek eronder maar 
B: 	ja ja ja met dat rond achterop plakken 
A: 	ja precies 
B: 	C 
B: 	dit zijn het gewoon het theekopje 
B: 	het normaal theekopje met dat rond achterop plakken 
A: 	het normaal theekopje 
A: 	even kijken ik zitten naar de indiaan te 
A: 	ah ja 
A: 	de indiaan en dat theeko lijken best wel beetje veel op elkaar dus af en toe 
B: 	alleen de indiaan hebben een neus en het theekopje niet 
A: 	ja kloppen 
B: 	ja 
A: 	ja alleen die hebben een ander neus die hebben hem de ander kant op 
A: 	zo zien ik het soms af en toe 
B: 	ja oké dat kunnen ook 
A: 	maar ja ik ik hebben nu weer de goed dus 
B: 	ja 
B: 	ja ik ik zullen zo zeggen ik drinken zo laten maar zeggen 
B: 	als een als een mongool 
A: 	ja oké maar oké zeven 
A: 	het theekopje 
A: 	gewoon het normaal theekopje 
B: 	ja met het rond achterop 
A: 	ja precies 
B: 	C 
A: 	oké 
B: 	dat zijn het 
A: 	moeten we nu dan stil zijn tussendoor 
B: 	volgens mij niet maar 
B: 	we shall see 
A: 	precies 
A: 	hallo 
B: 	hallo 
