A: 	dit zijn een komme met aan de beide kant een uitstulpsel aan de een kant lang dan aan de ander kant die uitstulpsels zitten een beetje onderin en die hebben als uiteinde ook een soort ei 
B: 	ja 
A: 	en er zijn een soort plank dat omhoog lopen met ook weer een soort van steun eronder 
B: 	ja ja ja 
B: 	okee 
B: 	dat zijn o 
A: 	okee 
A: 	okee 
B: 	deze hebben aan beide kant een uitsteeksel waarvan de een wat lang zijn dan de ander met aan beide kant van de uitsteeksel weer dat eivorm 
A: 	ja met dat plank 
B: 	ja 
A: 	dertien 
A: 	dit zijn degeen met die twee uitsteeksel die waarbij de een lang met dat ei met die ei aan de uiteinde 
B: 	ja ja dat zijn g 
A: 	okee 
B: 	deze hebben weer de ongelijk uitsteeksel met ei aan beide kant 
B: 	en het schuin plateau 
A: 	okee vier 
A: 	ik hebben nu met die twee uitsteelsel die allebei die die een zijn wat lang met die twee eit aan de uiteind 
B: 	ja dat zijn f 
B: 	dit zijn de twee ongelijk uitsteeksel met ei aan beide kant 
A: 	ja nummer elf 
