B: 	goed de volgen hebben ik omschrijven als een ijscoupe 
B: 	die vinden ik het veel lijk op een ijscoupe of één of een cocktailglas 
B: 	met een een rie erin en ijsblok die er een beetje boven zweven 
A: 	en een 
B: 	en een gedraaide hals 
A: 	het waar die op staat zijn een soort driehoek soort taartpunt 
B: 	ja 
B: 	een driehoek ja 
A: 	met een gedraaide steel 
B: 	ja 
B: 	en daarboven het of the kop met toebehoar 
A: 	de ijscoupe 
A: 	met twee blok ijs 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer vier 
A: 	en de ijscoupe 
B: 	de ijscoupe dat zijn letter A 
B: 	de ijscoupe 
A: 	ijscoupe waar zijn je ? ah 
A: 	ja 
A: 	nummer tien 
A: 	de ijscoupe 
B: 	de ijscoupe 
B: 	letter L 
A: 	ja 
B: 	de ijscoupe 
A: 	check 
A: 	nummer vier 
A: 	de ijscoupe 
B: 	de ijscoupe 
B: 	letter F 
