A: 	oké ik gaan weer over dat ei praten 
B: 	ja 
A: 	die zitten nu bovenop 
B: 	het ei zitten erbovenop 
A: 	ja 
B: 	zijn het een langwerpig ei of zijn het echt een ei ei 
A: 	het zijn net zo'n ei als net die neus zijn 
B: 	oké 
A: 	en dan hebben die dan staan die eigenlijk aan een paal 
B: 	oké 
B: 	ja 
A: 	en met twee van die armpjes een beetje zo 
B: 	ja 
B: 	ja en de een gaan iets naar voren 
B: 	de linker 
A: 	ja 
B: 	die gaan zo 
A: 	denken het ja 
A: 	ja 
B: 	ja 
B: 	oké dan weten ik welk je bedoelen 
B: 	dat zijn D 
B: 	oké dit deze hebben weer een een bolle op zijn hoofd 
B: 	en hij hebben een een balk voor zich 
A: 	ja 
B: 	en hij hebben één uitsteeksel zo en één uitsteeksel dat gaan zo 
A: 	dat zijn die een die ik ook wel hebben doen of niet 
A: 	hebben we deze nog niet hebben 
B: 	weten ik niet 
B: 	ja 
A: 	wat ik van waarvan ik zeggen het ei 
B: 	we hebben jij hebben deze denken ik ook al wel hebben 
A: 	ja 
B: 	want ze zitten nu bij mij allemaal weer op een ander plek 
A: 	ja dat hebben ik ook volgens mij ja het vallen me niet eens op 
A: 	ja oké 
B: 	ja maar dus dat ei en die balk en zo 
A: 	ja dan hebben je die balk en dat kop of ja dat dat dat die normaal vorm die zitten net iets hoog dan die balk toch 
B: 	ja 
A: 	ja oké 
A: 	zijn nummer vijftien 
A: 	ik hebben dat ei hoofd 
B: 	ja 
A: 	of dat ei op dat hoofd met die armp die we net ook bespraken die zo tussen de veger zitten en de 
B: 	met die balk 
B: 	die ervoor zitten 
A: 	ja 
B: 	ja oké dat zijn L 
A: 	nu zijn jij 
B: 	oké ik hebben die die waar ik de heel tijd over praat met die balk aan de voorkant en die arm die zo gaan 
A: 	ja en dat ei 
B: 	ja 
A: 	ja oké dat zijn zes 
A: 	ik hebben die met die armp en dat eihoofd 
B: 	armp en eihoofd 
A: 	dat ei op zijn de bovenkant 
A: 	die jij heel tijd eerder zeggen met die paal ook ervoor 
B: 	die 
B: 	ja 
B: 	ik inzien nu pas eihoofd oké 
B: 	J 
B: 	ik weten eigenlijk niet die hebben voor mij niet echt een vorm of zo 
B: 	maar oké maken niet uit 
A: 	bij mij halen dat allemaal niet uit 
B: 	ik hebben het het Eihoofdman 
B: 	Eihoofdman 
A: 	ja met die armpjes 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer drie 
