B: 	okee de hoofdvorm staan op een vierkant plateau 
B: 	met aan de bovenkant steken er soort van ja vierkant laten maar zeggen aan twee kant uit 
B: 	dus aan de een kant en dan aan de voorkant zitten een cirkel 
A: 	ja 
A: 	ja okee 
A: 	dat zijn nummer een 
A: 	hier hebben we de hoofdvorm op een platform staan 
A: 	op de hoofdvorm zitten een cirkel 
A: 	en aan beide kant steken een ja een een één ja 
B: 	ja 
B: 	l 
A: 	versiersel uit 
B: 	e 
B: 	dit zijn de hoofdvorm dat er eigenlijk als het zijn allemaal van die klein vierkan rechts en links uitsteken 
B: 	en het staan op een vierkant plateau 
B: 	met een soort van kraan die er linksachter uitsteken en een cirkelplateau hebben erbovenop 
A: 	ja 
A: 	nummer drie 
A: 	dit zijn de hoofdvorm die op de op het plateau staan met een rond cirkel er aan vastgeplakken en het versiersel 
B: 	yes 
B: 	n 
B: 	dit zijn de hoofdvorm waarbij een plat cirkel voorop zijn 
B: 	twee van die gek uitsteeksel bovenop links en rechts en hij staan op een vierkant plateau 
B: 	en als het zijn twee kraant ernaast soort van twee 
B: 	en dan dat cirkelplatform zijn dus echt tegen de hoofdvorm aan 
A: 	even kijken hoor 
B: 	dus je hebben de hoofdvorm cirkelplateau er vast tegenaan daar bovenop zijn rechts en link van die ja gek 
A: 	ja 
A: 	van die versiersel 
B: 	ja van die ja 
A: 	ja 
A: 	nummer twee 
A: 	dit zijn de versiersel de hoofdvorm met de versiersel 
B: 	de c 
B: 	de c 
