A: 	ja hierin zijn eigenlijk een isteken verwerken 
A: 	dus weten je wel ? één plus ja die en dan 
B: 	aan de zijkant 
B: 	en dan met zo'n hoed 
A: 	ja zo'n hoed en dan 
B: 	plat 
A: 	ja 
B: 	en nog één been 
A: 	ja die 
B: 	ja 
B: 	dan zijn het zijn dat een I of een L 
B: 	een I 
B: 	dan zijn het een I 
B: 	dit zijn die een met dat istek 
A: 	ah oké dat zijn nummer twee 
A: 	dit zijn met dat istek 
B: 	even kijken 
B: 	ja dat zijn N 
B: 	dit zijn met dat istek 
A: 	zijn nummer negen 
A: 	dit zijn met het isteken 
B: 	oké 
B: 	dat zijn F 
B: 	dit zijn weer met het isteken 
A: 	dat zijn nummer zes 
