A: 	ik hebben nu een mok die hebben een soort van hoed op eigenlijk 
A: 	en aan de rechterkant komen er twee balk uit die even groot zijn 
A: 	linksonder zitten 
B: 	lijken op een isgelijktek 
A: 	ja 
B: 	ja dan zijn het bij mij nummer I 
A: 	op een zijn 
A: 	ja 
A: 	ja 
B: 	ik hebben degeen met het isgelijktek aan de rechterkant dan een soort hendel 
A: 	ja dat zijn nummer twee 
B: 	yes 
A: 	nou dit zijn de mok met het isteken 
B: 	ah ja 
B: 	even zien 
B: 	dat zijn bij mij M 
B: 	ik hebben degeen met het isgelijktek en dan de hendelt 
A: 	top dat zijn nummer negen 
B: 	ja 
A: 	nou dit zijn de mok met het isteken 
B: 	yeslen en die staan bij mij bij nummer F 
B: 	yeslen ik hebben het isgelijkteken 
A: 	nummer zes 
B: 	yes 
