A: 	er zitten een soort kwast in het beker en het hebben aan de rechterzijde even kijken een soort handvat wat lijken op een vierkantachtig iets 
A: 	dan aan de linkerzijde hebben het een soort armp 
A: 	en dan aan de voorzijde veel link hebben het ook een soort kwastachtig iets wat lijken ënsorteren in de mok 
A: 	zijn het daarmee duidelijk 
B: 	wachten wachten 
B: 	kunnen je hem nog 
A: 	ja aan de bovenzijde het lijken alsof je zeggen maar een kwast in een beker hebben laten liggen 
B: 	die 
A: 	en dan aan de rechterzijde hebben het een soort handvat laten maar zeggen maar dan horizontaal wat op een vierkantje eindigen 
A: 	aan de linkerzijde hebben het ook een soort handvat zeggen maar 
A: 	en dan aan de voorzijde hebben het zelfde vorm wat aan de bovenkant uitsteken laten maar zeggen hebben het ook aan de voorzijde een beetje links 
A: 	en dan lijken het alsof het zeggen maar in de mok zitten 
B: 	en dat rechterhandvat bestaan dat uit drie vierkant één klein iets groot groot 
A: 	ja exact 
B: 	okee 
B: 	dan zijn het i 
B: 	hier zitten ook een roerstaafje in aan ja aan beide zowel links aan de zijkant als bovenin hetzelfde 
B: 	en aan de rechterkant een soort van houder met die vierkant drie vierkant van groot naar klein 
B: 	en aan de linker daarachter nog een hengsel 
A: 	even kijken een roerstaafje 
B: 	of ja twee dezelfde 
B: 	wat er bovenin zitten zitten ook aan de linkerkant 
A: 	ja dus een soort twee kwast die er zeggen maar zo in zitten 
B: 	ja 
A: 	hand aan de linkerzijde en die groot blok die naar klein lopen als handvat 
B: 	ja 
A: 	ja dan zijn het nummer elf 
A: 	dit zijn laten maar zeggen die twee kwast één die erin zitten en één van de zijkant 
A: 	dus laten maar zeggen die twee lepelt 
B: 	ja 
A: 	en met een kubus aan de rechterkant die van groot naar klein lopen 
A: 	en nog een hand aan de linkerzijde 
B: 	ja dat zijn i 
B: 	met twee kwast één aan de linkerkant één bovenin 
B: 	precies hetzelfde 
B: 	en dan ja rechts zo'n driehoekding en links nog een slurf 
B: 	driehoek sorry 
B: 	rechts drie kubus van groot naar klein 
A: 	ja 
A: 	okee nummer vier 
A: 	de twee kwast die zeggen maar één boven één link met het soort ja die vierkant die van groot naar klein lopen en een hand links 
B: 	ja 
B: 	ja dat zijn n 
B: 	twee kwast er zo in 
A: 	ja even zoeken hoor 
B: 	aan de zijkant en boven 
A: 	ja nummer dertien 
