B: 	aan allebei de zijkant zitten er zeggen maar een rij van drie klein rui 
B: 	en dan zitten voorop zitten een rond 
B: 	met nog een klein klein dinge eruit 
A: 	ja 
B: 	en dan op één groot vierkant zeggen maar 
A: 	ja 
A: 	die zijn makkelijk dat zijn drie 
B: 	ja 
A: 	even kijken dit zijn die met het schotel aan de voorkant met het gek klein dinge eraan 
A: 	en met de drie rui aan beide kant 
B: 	okee die ja 
B: 	l 
B: 	dit zijn diegene met de rui aan de zijkant 
B: 	zeggen maar zes 
A: 	aan beide kant de ruit 
B: 	aan beide kant drie rui inderdaad 
A: 	ja het schotel ervoor 
B: 	ja inderdaad 
A: 	ja twee 
A: 	dit zijn die met de ruit aan de bovenkant de torent 
B: 	de ruit aan de bovenkant 
A: 	en het schotel voorop 
B: 	ja ik moeten nog even 
B: 	met de met de zes rui 
A: 	ja met de zes zes ruit ja 
B: 	drie aan ieder kant 
B: 	ja 
B: 	b 
B: 	dit zijn degeen met de klein rui aan de zijkant 
A: 	met het zes rui 
B: 	met rond voorop 
B: 	ja ja 
A: 	ja vijf 
A: 	dit zijn die met de zes rui aan de bovenkant 
B: 	ja 
B: 	en het rond voorop 
A: 	ja 
B: 	ja b 
