A: 	nu hebben ik ja nee zo'n 
A: 	hij hebben links hebben hij een de enig die nog over zijn volgens mij hebben die een soort staaf en daaraan vast zitten een heel dun dinge 
A: 	waardoor die best wel breed worden op zich ja een soort 
B: 	soort pion 
B: 	op de kop 
A: 	ja een soort pion ja 
B: 	ja 
A: 	en dan rechts hebben die nog een soort dienblad vast 
B: 	ja 
B: 	L 
B: 	dit zijn de figuur waar we net mee eindigen met die raar pion die op dat buisje steunen 
B: 	weten je welk ik bedoelen 
A: 	ja ja ja ik hebben hem 
A: 	nummer zeven 
B: 	oké 
A: 	dit zijn die pion 
A: 	die uitsteken aan een soort arm 
B: 	ja 
A: 	en rechts nog een dienblad 
B: 	C 
B: 	ik hebben die met die pion die op die uitstekend arm staan met dat dienblad 
A: 	ja 
A: 	één 
B: 	ja 
A: 	ik hebben die met de pion en het dienblad 
B: 	dat zijn A 
B: 	ik hebben die met die raar op de kop staan kegel op die arm 
B: 	met het dienblad 
A: 	nummer dertien 
