A: 	oké deze zijn volgens mij de enig die aan de rechterkant twee rechthoekig staafjes hebben 
B: 	ja en een neus aan de linkerkant 
A: 	ja 
B: 	en een soort hoed 
A: 	en een soort hoed ja 
B: 	oké dat zijn I bij mij 
B: 	en dit zijn die een met die twee rechthoeak aan de rechterkant 
A: 	en dan aan de linkerkant zo'n gek uitsteeksel 
B: 	ja 
A: 	oké dat zijn twee 
A: 	dit zijn die met die twee rechthoeak aan de rechterkant 
A: 	en dat hoed een soort van 
B: 	waar staan die 
B: 	ja dat zijn M 
B: 	dit zijn die met die twee rechthoekig ding en rechts 
A: 	dat zijn negen 
A: 	dit zijn die met de twee rechthoeak aan de rechterkant 
B: 	ja dat zijn F 
B: 	die met de twee rechthoeak in zijn rechteroor 
A: 	dat zijn zes 
