A: 	deze vinden ik een beetje lijken op een Superman 
A: 	omdat die zo'n dak hebben dan linksboven 
A: 	en hij hebben een soort van ja peper en zoutvaat aan de zijkant 
B: 	ja 
B: 	twee twee minieit eigenlijk 
A: 	ja jij met je eit 
A: 	ja 
B: 	het zijn eit 
A: 	ja 
B: 	het het zijn twee paasei 
A: 	twee eit 
A: 	ja 
B: 	ja 
B: 	dat zijn K 
B: 	dit zijn die weer met de met de paasei of het peper en zoutstelle zoals jij vinden 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn die Superman met die zout en pepervaat die jij ei vinden 
B: 	dat zijn paasei 
B: 	dat zijn F 
B: 	dit zijn die weer met het peper en zoutstelle 
A: 	even zoeken 
A: 	ja 
A: 	dat zijn drie 
A: 	dit zijn weer dat zout en peperstelsel die paasei 
B: 	waar zijn ze ? ja dat zijn L 
B: 	dat zijn met peper en zoutvaa 
A: 	even zoeken dat zijn vijf 
