B: 	cool 
A: 	deze nou ja ik weten niet wat ik het moeten noemen maar het lijken een beetje zegmaar op een soort van handvat 
A: 	die aan beide kant zitten 
A: 	en er zitten een schuin omhooggaan plaat achter zo schuin achter 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	oké ja dat weten ik wel 
A: 	oké 
B: 	wat het zijn , dat zijn E 
B: 	ja dit zijn die met die soort van schuin ding aan de achterkant naar boven 
A: 	ja ja ja ja 
B: 	met die alsof er een soort van paal doorheen zitten 
A: 	ja precies 
B: 	ja 
A: 	dat zijn zeven 
B: 	oké 
A: 	oké dan krijgen we weer diegene met zo'n schuinaflopen bord erachter 
B: 	ja 
A: 	en met twee van die ja zo'n paal die er doorheen lijken te zitten 
B: 	met die die 
B: 	ja ja oké 
A: 	ja 
B: 	dat zijn L 
B: 	ja dit zijn weer die met dat schuin aan de achterkant en die balk er doorheen zeggen maar 
A: 	ja 
A: 	ja vijf 
A: 	ja dit zijn weer met dat schuinaflopen bord 
B: 	ja 
A: 	en die paal ja 
B: 	met die paal ja oké 
B: 	dat zijn K 
B: 	ja dit zijn weer met dat aflopen ding aan de achterkant met die paal erdoor 
A: 	oké 
A: 	ja waar zijn hij 
A: 	even kijken 
A: 	ja daar negen 
