B: 	deze hebben twee van die blokkenstapel links en dan een vierkant ervoor 
A: 	ja en een soort van paddenstoel bovenop 
B: 	een beetje aan de 
B: 	yes 
A: 	ja dat zijn bij mij nummer twee 
A: 	dit zijn die een weer met dat paddenstoel bovenop en dan dat heel groot vierkant aan de rechterkant erbij en die twee stapel aan de linkerkant 
B: 	die 
B: 	ja 
B: 	dat zijn G 
B: 	ik hebben die een met het paddenstoel bovenop 
A: 	ja nummer en dat vierkant vlak 
B: 	ja 
A: 	ja nummer negen 
A: 	ik hebben die met het paddenstoel bovenop 
B: 	even kijken 
B: 	who ik kunnen hem niet daar zien 
B: 	dat zijn D 
B: 	ik hebben die een met de twee stapel aan de linkerkant 
B: 	en dan een vlak aan de voorkant de paddenstoel dat zijn hoe de we hem noemen 
A: 	ja 
A: 	nummer één 
A: 	ik hebben die een met die paddenstoel bovenop en dat vierkant vlak aan de rechterkant 
B: 	ja 
B: 	dat zijn B 
