B: 	oké het kop zitten in een soort van blauw vlak 
A: 	ja zo'n zo'n soort tutu en dan hebben die zo'n omgedraaide L als linkerkant 
B: 	ja 
A: 	oké dat zijn bij mij nummer zes 
B: 	kloppen hebben ik ook 
A: 	die een met dat vierkant op ongeveer buikhoogte 
B: 	als een soort van ballerina 
A: 	ja ja tutu noemen ik hem met die L 
B: 	C 
B: 	ik hebben die een met die tutu 
A: 	ja 
A: 	en dat zijn dertien 
A: 	die met die die tutu en dat dat L'etje 
B: 	ja 
B: 	J 
B: 	ik hebben de ballerina 
B: 	de tutu 
A: 	ja dat zijn nummer negen 
A: 	die met die met dat rok 
B: 	ja de tutu 
A: 	ja 
B: 	dat zijn N 
