A: 	deze hebben een best wel hoog driehoek op de bovenkant van het kop en een heel klein 
A: 	die ook een beetje rond zijn aan de linkerkant 
A: 	en een soort wiel onder de kop 
A: 	en dan zitten er nog een een vag vorm ervoor zeggen maar 
A: 	die ja een vliegerachtig iets 
B: 	ja dat zijn J 
B: 	dit zijn het kop met het driehoek aan de bovenkant en 
B: 	zo'n oplopen kubus aan de linkerkant en het wiel aan de Linkeronderkant 
B: 	en de vlieger aan de rechterkant 
A: 	de vlieger ja 
A: 	zes 
A: 	dit zijn met die vlieger erop 
A: 	en de driehoek Erboven en 
B: 	dat zijn E 
B: 	dit zijn die met de met de driehoek erop 
B: 	de het groot worden kubus aan de linkerkant wiel en de vlieger 
A: 	ja ja 
A: 	tien 
A: 	dit zijn de vlieger 
A: 	met dat wiel aan de onderkant 
B: 	ja dat zijn G 
B: 	dit zijn met de vlieger 
B: 	en de driehoek erbovenop 
B: 	ja 
A: 	tien 
