B: 	ja deze lijken echt een beetje op een beker die hebben een 
B: 	driehoek er onder en dan die spiraal zo en daar zitten zeggen maar die kop op vast of die mok 
A: 	net 
B: 	ja je hebben bovenin zitten er twee blok op nog zo'n uitsteeksel en dat ding dat er onderuit komen en dan 
A: 	blok op en dan en nog iets aan de zijkant ja 
A: 	ja ok nee dat zijn dan nummer vier 
A: 	ja dit zijn eigenlijk die mok die eigenlijk omhoog gaan of zoiets wat je zeggen 
B: 	die die kampioen trofee 
A: 	die kampioen mok achtig weer ja ja ja 
B: 	ja ok dat zijn dan A 
B: 	ja dit zijn die die op een trofee lijken 
A: 	ja nou dan hebben ik die al vinden dat zijn dan nummer tien 
B: 	ja 
A: 	dit zijn die trofee 
B: 	ja dat zijn dan L 
B: 	ja dit zijn die beker 
A: 	o ja 
B: 	ja 
A: 	nummer vier 
A: 	nou ja dit zijn de trofee 
B: 	de trofee dat zijn dan F 
A: 	ja 
