A: 	even kijken deze hebben een driehoek erbovenop 
A: 	een heel groot driehoek 
A: 	en dan nog een klein dinge aan de linkerkant een soort van verrekijker met één ding 
A: 	en nog een vierkant aan de rechterkant 
A: 	en een rond linksonder 
B: 	zo'n plat rond 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij j 
B: 	deze hebben een driehoek bovenop en links een spiesdinge en linksonder een plat schijf 
B: 	en links een spiesdinge 
B: 	en linksonder een plat schijf 
A: 	en dan rechts ook die vierkant of zijn dat iets ander 
B: 	ja vierkant rechthoek ding 
A: 	soort van onafmaken pyramide die 
B: 	ja rechts ja ja 
A: 	ja 
A: 	en dan bovenop echt zo'n scherp driehoek 
B: 	ja met een punt ja 
A: 	yes 
A: 	kijken dat zijn nummer acht 
A: 	deze hebben de driehoek bovenop en de sterrenkijker links en nog een rond onder en die pyramideding rechts voorop 
B: 	ja dat zijn p 
B: 	de driehoek puntig driehoek bovenop en links een spie 
A: 	ja dat zijn 
A: 	yes dat zijn een 
B: 	ja 
A: 	dit zijn met die puntig driehoek bovenop en nog een klein sterrenkijker link 
B: 	ja dat zijn e 
B: 	de driehoek puntig driehoek bovenop en de ministerrenkijker 
A: 	ja ja dat zijn nummer vijf 
