B: 	dit vinden ik een soort wasbak met de afvoer die draaien zijn 
B: 	en die afvoer komen uit in een soort driehoek 
A: 	ja 
A: 	ik noemen het een trofee 
B: 	ja dat dat ja dat zien ik ook wel nu erin 
A: 	kunnen je zijn dat vergelijkbaar 
A: 	oké met zo'n met zo'n vierkant blok dan een beetje rechts bovenin 
B: 	ja ja ja 
A: 	oké 
B: 	precies 
A: 	dat zijn vier 
A: 	dit zijn de trofee of de gek wasbak 
B: 	ja 
B: 	dat zijn A bij mij 
B: 	dit zijn die draaien afvoer of de trofee 
A: 	dat zijn tien 
A: 	de trofee 
B: 	ja 
B: 	dat zijn L 
B: 	dit zijn de trofee 
A: 	dat zijn vier 
A: 	dit zijn de trofee 
B: 	ja F 
