A: 	okee bij mij hebben je een bal voor de emmer 
A: 	en een de emmer zijn in het midden hebben je een bal erop 
A: 	daar daardoorheen gaan een een balk 
A: 	dan hebben je ook nog een cirkel daar 
A: 	tweedimensionaal 
B: 	ja 
B: 	ja 
A: 	en zo'n klein uitsteeksel bovenop 
B: 	ja f 
B: 	deze hebben zo'n bal voorop en er zitten een staaf in het lijken een beetje op de neus van een helikopter 
B: 	en aan de een kant van de staaf zijn een cirkel 
B: 	en bovenop de emmer zijn een soort van lepeltje handvaa 
A: 	okee 
A: 	zes 
A: 	deze hebben ook die balvorm maar die helikopter 
B: 	ja o 
B: 	deze zijn de helikopter 
A: 	okee 
A: 	elf 
A: 	de helikopter 
B: 	ja d 
B: 	dit zijn die helikopter 
A: 	tien 
