A: 	zijn twee driehoek of nee geen geen driehoek zijn twee rui tegen elkaar 
A: 	en daar komen zeggen maar een beetje soort van of er zitten een bliksemschicht lijken het wel doorheen of een beetje een golfachtig iets 
A: 	en die hebben ook nog voor hebben die twee armp zo 
A: 	en onder nog één ja hoe noemen je dat ? ik weten niet hoe dat precies heten beneden 
B: 	ja 
B: 	ja 
A: 	zo ik zeggen 
B: 	dus zeggen maar dus ja die driehoek die staan bovenop 
A: 	ja boven staan zeggen maar eigenlijk als je heel goed kijken dan zijn het twee driehoek of twee rui tegen elkaar 
B: 	ja 
A: 	en dan gaan er zo'n bliksemschicht of iets gaan er dwars doorheen zeggen maar 
B: 	ja ja ja 
B: 	ja en dan aan de zijkant staan nog aan de linkerkant ja je hebben zo'n lang ding en dan nog één ook weer zo'n soort bliksemschicht toch 
A: 	nee beneden hebben die nee sorry 
A: 	dat zijn dat en dan beneden hebben die zeggen maar lijken het een beetje op twee armp lijken het 
A: 	en dan helemaal beneden gaan die iets lijken het net soort van staartachtig iets 
B: 	ja ja 
B: 	ja 
B: 	dan zijn het ja 
A: 	oké toch oké 
B: 	M 
B: 	en dit zijn 
B: 	ja dat zijn die met die twee ja ruiten zeggen maar met een piercing of zo'n ja zo'n bliksemschicht erdoorheen zeggen maar 
A: 	ik weten welk je bedoelen even kijken ja en dan die twee armp en been zo van ja 
B: 	ja 
A: 	negen 
A: 	glijbaan 
B: 	glijbaan 
B: 	ah 
B: 	I 
B: 	ja dat zijn die met die ruit 
A: 	die met die glijbaan zijn dat ? met die twee ruiten hierboven 
B: 	ruiten en de bliksemschicht erdoorheen 
A: 	ja kloppen ja 
A: 	en dat omschrijven we een beetje volgens mij ook als glijbaan ja kloppen 
B: 	ja 
A: 	bik bliksemschicht erdoorheen en twee armp 
B: 	ja ja ja 
A: 	ja 
A: 	elf 
A: 	dit zijn die driehoek boven of die glijbaan hoe je het ook willen omschrijven 
A: 	driehoek boven met die bliksemschicht 
B: 	ja 
B: 	d 
B: 	ja wat zijn dit ? die ruit met de bliksemschicht 
A: 	die ruit met ja 
A: 	veertien 
