B: 	oké oeh deze zijn deze zijn echt moeilijk er zitten zeggen maar op boven op het basisvormpje zitten een een balk 
A: 	ja zijn die compact zeggen maar ? opsteken er niet veel uit 
B: 	nee er steken eigenlijk niks uit 
A: 	nee oké ja dan weten dan weten ik 
B: 	en er zitten een soort van schuifflapding aan de zijkant 
A: 	ja 
A: 	ik ik zien dat als een soort opveg 
B: 	ja opveg 
A: 	ja 
A: 	ja en en zo'n schuin 
B: 	ja 
A: 	zo'n ding naar beneden ja oké ja ja 
B: 	oké 
A: 	ik weten al 
A: 	acht 
A: 	ik hebben dat opveger 
A: 	of die stofzuiger achtig 
B: 	ja ja 
B: 	oké dat zijn E 
B: 	ik hebben de veger de stofzuiger 
A: 	ja 
A: 	ja 
A: 	dat zijn één 
A: 	ik hebben de stofzuiger 
B: 	oké 
B: 	daar 
B: 	dat zijn E 
B: 	ik hebben de stofzuiger 
A: 	ja 
A: 	ik hebben hem zestien 
A: 	ik hebben de veger 
B: 	ja 
B: 	oké dat zijn O 
