A: 	dit vinden ik de heel tijd een kraan ik weten niet er zitten een je hebben zeggen maar een driehoek bovenop en dan hebben je twee van die ding eraan 
B: 	driehoek bovenop en twee van die ding eraan 
A: 	het zijn met de allermee uitsteeksel die je kunnen vinden 
B: 	ja ja ja ja een ruitje bovenop 
A: 	de allerdruk 
A: 	ja met een rui en dan zitten daar van die twee 
B: 	misschien 
B: 	en dan twee Minecraftdingen aan die ruit 
A: 	ja en dan zo weer van die van die uitlaten en nog één als voorkant 
B: 	ja 
B: 	oké 
A: 	ja 
B: 	M 
B: 	dit zijn die een met de ruit boven met twee minecraft dinge aan de 
A: 	ja met zo'n ding eronder bedoelen je 
B: 	ja die 
A: 	en dan twee van die ding nog zo 
B: 	ja twee uitsteeksel die hetzelfde zijn 
A: 	maar je bedoelen die een met het ruitje op het hoofd toch 
B: 	ja het ruitje op op achter op zijn hoofd en 
A: 	ja oké 
A: 	die twee ding die eruit ja oké 
B: 	ja 
A: 	negen 
A: 	dit zijn die met die dat die ruit met die Minecraftdingen en dan die uitlaat 
A: 	eronder 
B: 	ja 
B: 	H 
B: 	wachten uitlaat 
A: 	ja aan de onderkant zitten nog zo'n uitsteeksel 
B: 	oké maar die wijzen naar voren 
A: 	ja die wijzen naar voren ja ja sorry ja 
B: 	oké ja dat zijn H 
B: 	zijn die een met die ruit met de twee Minecraftdingetjes door de ruit 
A: 	ja met die dat ding aan de onderkant ook toch 
B: 	ja de uitlaat 
A: 	ja dat zijn elf 
B: 	een kraan noemen jij dat 
A: 	ja een kraan 
B: 	ja oké nou zien ik het 
A: 	die kraan met die ruit en die 
B: 	ja 
B: 	d 
B: 	de kraan 
A: 	even zoeken ja nummer veertien 
