B: 	dit kop hebben vier uitsteeksel als eerst rechts weer zo'n ei op het kop 
B: 	dan opsteken er een rechthoekig plank uit en een ja 
A: 	kegel bowlingding 
B: 	ja zo kunnen je het noemen ja en het lijken een soort driehoekig dinge naar de linkerkant 
A: 	ja 
A: 	ja ja ja 
A: 	ja oké 
A: 	bij mij zijn dat veertien 
A: 	deze hebben weer zo'n ei aan de voorkant van het kop 
A: 	en dan opsteken er een gewoon een normaal rechthoekig balk uit 
A: 	en weer die kegelvorm op zijn kop 
A: 	en dan links nog een klein driehoekachtig balk 
B: 	ja dat zijn N 
B: 	dit zijn die met het ei erop aan de rechterkant een balk steken uit en die kegel 
A: 	ja ja ja 
B: 	en aan de linkerkant steken nog een balk uit 
A: 	negen 
A: 	dit zijn dat ei aan de voorkant weer en dan een normaal balk Erboven en een kegel 
A: 	en dan nog een driehoek driehoekbalk aan de linkerkant 
B: 	ja dat zijn G 
B: 	dit zijn even kijken een ei aan de voorkant 
B: 	en één rechthoekig balk eruit en één kegel eruit 
B: 	en aan de linkerkant nog een balk 
A: 	vijf 
A: 	dit zijn met een ei voorop en dan zo'n normaal balk eruit die kegel en dan een nog een driehoek aan de linkerkant 
A: 	driehoekbalk 
B: 	wat ? kunnen je het nog een keer zeggen 
A: 	een ei aan de voorkant 
B: 	ja ja 
A: 	en dan een normaal rechthoekig balk erbovenuit 
B: 	en die kegel 
A: 	en dan een omgekeerde kegel en dan nog een driehoekbalk aan de linkerkant 
B: 	ja ja dat zijn J 
