A: 	we moeten hem gaan raad 
B: 	ja 
A: 	ja 
B: 	ik hebben een rood vierkant 
A: 	oké 
A: 	hebben het een onderkant 
B: 	ja 
A: 	een een vierkant onderkant bedoelen ik 
A: 	dat bedoelen ik 
B: 	die ondergrond nee dat niet 
A: 	nee 
A: 	hebben het rond voorwerp daarin 
B: 	ja aan de achterkant 
A: 	aan de achterkant 
A: 	hebben het lijken het op twee armp 
A: 	wat aan de zijkant zitten 
B: 	nee hij hebben één armp 
A: 	één 
B: 	en zo'n dinge op zijn hoofd 
A: 	het zitten rond 
B: 	mij doen het een beetje aan een boogschutter denken 
A: 	nou moeten ik even gaan zoeken 
A: 	en een een soort lepel aan aan de aan in in het beker 
B: 	ja 
A: 	en één armp aan de zijkant 
B: 	ja 
A: 	dan denken ik dat het nummer dertien zijn 
A: 	ja 
A: 	als als het vorig plaat of 
A: 	ja 
A: 	ja 
A: 	volgens mij doen we iets niet goed 
B: 	ik denken dat ik het al weten 
B: 	ja 
B: 	ja 
B: 	ik volgens mij hebben ik het net een beetje fout doen met de één keer raad 
B: 	ja ik denken dat we er even op moeten letten als die op dezelfde plek staan dat we dan op die geel drukken bij taak twee en als die niet op dezelfde plek staan dat we dan op de rood drukken 
A: 	ja 
A: 	van het vorig plaat bedoelen je dan of 
B: 	ja 
B: 	ja als ik zeggen oké hij staan op plek D maar bij jou zijn het plek een ander plek dan moeten ik op de rood knop drukken 
A: 	ja 
B: 	maar of dat hebben ik net bij taak twee hoeven je niet het letter of cijfer te noemen dan hoeven je alleen maar te zeggen of die op dezelfde plek staan of niet 
A: 	ja 
B: 	oké 
B: 	maar dat hebben we wel steeds doen maar dat hoeven dus niet 
A: 	ja 
A: 	oké 
B: 	oké 
A: 	ja ja 
B: 	ja ja 
B: 	dus alleen bij taak één dan oké 
A: 	ja taak één ja 
A: 	deze hebben weer een lepeltje 
A: 	met een koekje of een citroen aan de achterkant en zo'n blok aan de onderkant 
B: 	en dan zo'n armp naar de 
A: 	ja 
B: 	ja 
B: 	O 
B: 	deze zijn die weer met dat lepel met dat rond plateau aan de achterkant en dan zo'n armp naar de zijkant toe en dan zo'n voe eronder 
A: 	ja 
A: 	dat zijn acht 
A: 	het het lepel weer met het schijf citroen en die onderkant 
B: 	en het armp aan de 
A: 	ja en die ja 
B: 	C 
B: 	deze zijn met dat schijf citroen en dat lepel en die met dat voe eronder 
A: 	ja 
A: 	zeven 
A: 	het lepel met het citroen 
B: 	C 
B: 	nou 
B: 	hallo 
A: 	ja 
