A: 	ja nu hebben ik deze ja ook weer vier ding hij hebben een een ronde bal bovenop 
A: 	en een langwerpig staaf ervoor 
B: 	ja 
A: 	en twee soort van hand aan de zijkant 
B: 	ja 
B: 	en die lijken er een beetje zo achter te afhangen 
A: 	ja 
B: 	ja 
B: 	dat zijn D 
B: 	we hebben nog een ander figuur 
A: 	ja 
A: 	we zijn nu allemaal steeds we we zijn nu op één zes denken ik 
A: 	want ze zijn nu al figuur zijn nu van plek wisselen 
B: 	ja dat zien ik inderdaad ook 
A: 	dus 
B: 	ja nee kloppen 
A: 	ja 
B: 	ja 
A: 	en volgens mij doen we het zes keer 
B: 	ja 
B: 	dit zijn een figuur met een balle erop 
B: 	en aan de voorkant die staaf en aan de beide zijkant die twee armp 
A: 	ja dat zijn nummer vijftien 
A: 	ik hebben die één met die armpjes zo bal erbovenop balk ervoor 
A: 	dus niet die met die armpjes met die stomp eraan maar veel die dun armp en een ronde bal erbovenop 
B: 	en een stok ervoor 
A: 	ja en een balk echt 
B: 	of een balk 
B: 	ja 
B: 	dat zijn L 
B: 	ik hebben die met die bal erop 
B: 	de balk ervoor en twee armp 
A: 	welk hebben ja ja zes 
A: 	twee van die klein armpjes bal erop balk ervoor 
B: 	twee van die klein armpjes 
B: 	de bal erop zeggen je 
A: 	ja de bal erbovenop en zo'n balk ervoor 
B: 	ja 
B: 	dat zijn J 
B: 	ik hebben de balle bovenop twee armp en een balk ervoor 
A: 	nummer drie 
