B: 	ik zien een zoals al plaat een blauw kop 
A: 	ja 
B: 	en daar steken een soort lepeltje bovenuit aan de rechterkant 
A: 	ja 
B: 	aan de linkerkant bovenin zitten een 
A: 	zo'n citroen hebben ik 
B: 	half rond inderdaad 
A: 	ja ja ja oké 
B: 	maar er zitten ook aan de linkerkant nog een uitstekend balk 
A: 	ja 
A: 	ja oké 
A: 	bij mij zijn het dan dertien 
A: 	dit zijn weer dat kop met ook die citroenschijf maar dan met de lepel erin 
A: 	en zo'n buisje die er link nog uit opsteken 
B: 	en onderin ook nog 
A: 	ja ja ja 
B: 	ja oké dat zijn O 
B: 	one's dit zijn geloven ik ook weer het één plaat waar ik mee beginnen met dat citroen 
A: 	en een lepeltje 
B: 	er 
B: 	ja een lepeltje en links nog een uitsteeksel en onderin ook nog 
A: 	ja ja 
A: 	acht 
A: 	de lepel met een citroen 
A: 	en nog zo'n klein balk aan de linkerkant eruit 
B: 	ja dat zijn C 
B: 	en dit zijn weer met dat citroen 
B: 	boven het kop 
B: 	half citroen 
A: 	en de lepel 
B: 	en het lepel en aan de linkerkant dat uitsteeksel en aan de onderkant 
A: 	zeven 
A: 	dit zijn met de lepel eruit en de citroenschijf en dan nog links een balk 
B: 	ja dat zijn C 
A: 	eindelijk 
B: 	hallo 
