A: 	deze vinden ik heel raar 
A: 	deze hebben namelijk een soort van telescoopachtig een soort van die blokachtig trechter 
A: 	die zitten aan de rechterkant 
A: 	en dan zitten er een staaf zitten er vanuit boven zitten erin 
A: 	maar vanuit links zitten er ook in 
B: 	er zitten een trechter aan de rechterkant 
A: 	ja 
B: 	zijn het iets dat zo naar beneden gaan 
B: 	zo 
A: 	ja dat zitten aan de achterkant 
A: 	soort van links 
A: 	ik zitten even na te deze vinden ik ook heel heel raar 
A: 	het zijn een beetje een een een blokkig slurf achtig 
A: 	en dan hebben je nog twee 
B: 	zijn het zo allemaal van die steeds klein worden blok die dan zo één geheel worden aan de rechterkant 
A: 	ja 
A: 	ja 
B: 	oké ik zitten naar een ander te kijken 
A: 	je hebben nog zo'n ander plaat en die hebben er twee maar deze hebben er dan één 
B: 	één wat 
A: 	ja één zo'n je hebben zeggen maar dan die soort van slurf die met van die blok die steeds klein worden 
A: 	en er zijn een ander die hebben er twee daarvan 
A: 	twee van die blok die steeds klein worden 
B: 	ja ja ja 
A: 	maar dit zijn die ander dus met één en dan vanuit de bovenkant komen er dan een 
B: 	ja 
B: 	buttplug 
A: 	ja 
A: 	en van de zijkant ook ja 
B: 	en links ook 
B: 	ja 
A: 	oké 
B: 	oké dat zijn E 
B: 	dit zijn die met de veel buttplug 
A: 	wachten even hoor 
B: 	en met de de steeds klein worden blok 
A: 	die soort van stethoscoopachtig 
B: 	vinden je dat op een stethoscoop 
A: 	ja 
A: 	stethoscoop telescoop bedoelen ik 
A: 	stethoscoop zijn wel wat ander 
B: 	ja nee 
A: 	zo'n zo'n of zo'n oud camera 
B: 	ik inzien gewoon 
B: 	nee 
B: 	ja 
A: 	vroeg met zo'n deken 
B: 	die blok ja ja dat lijken er wel op 
B: 	dat lijken op zo'n oud camera ja 
A: 	ja 
B: 	ja 
A: 	ja oké dat zijn elf 
B: 	ja 
A: 	dit zijn weer die die die oud camera met die twee buttplug 
B: 	ze blijven hem gewoon geven 
B: 	oké dat zijn J 
A: 	we hebben het ook gewoon kegel kunnen noemen maar goed 
B: 	nee het zijn buttplug 
B: 	ik hebben weer die met de twee buttplug 
A: 	met die oud camera ook weer 
B: 	ja 
A: 	dat zijn negen 
A: 	dit zijn weer die oud camera met twee van die buttplug 
B: 	waar zijn je 
A: 	en die slurf 
B: 	waar zijn die 
B: 	ja dat zijn B 
B: 	dit zijn die met de twee buttplug 
A: 	en die oud camera 
B: 	ja 
A: 	zijn vier 
