B: 	oké ik hebben dit zeggen als een tafel met een schaalt erop 
A: 	dat hebben ik ook geloven ik zo benoemen 
B: 	een galg ja dat hebben ik wel benoemen 
B: 	met die poot en dan dat vierkant vlak iets aan de bovenkant en dan ja een soort van schaalt 
A: 	ja 
A: 	ja precies alsof dat de het beker hem zeggen maar vasthouden die tafel 
B: 	ja 
A: 	ja ja 
B: 	ja 
A: 	dan zijn het zestien 
A: 	dit zijn diegene met het tafel en de ja soort van de kom erop of de het schaalt erop met een soort van veel piramideachtig schaal 
B: 	ja 
B: 	P 
B: 	dit zijn de tafel met het schaalt erbovenop 
A: 	yes 
B: 	oké 
A: 	dit zijn weer met die tafel met dat schaalt erop 
B: 	ja N 
A: 	soort van 
B: 	ja 
B: 	dit zijn de tafel met de het schaalt erbovenop 
A: 	ja 
A: 	even kijken 
A: 	dat zijn tien 
A: 	dit zijn de tafel met het komme erop 
A: 	of schaalt erop 
B: 	ja dat zijn D 
