A: 	het zijn het degeen met het driehoek bovenop 
A: 	volgens mij zijn dat er maar één 
B: 	ja J 
A: 	ja 
B: 	het zijn die met de driehoek erbovenop 
A: 	ja even zoeken 
B: 	en die 
A: 	ja nummer zes 
A: 	dit zijn degeen met de driehoek bovenop 
B: 	ja vinden E 
B: 	het zijn de driehoek erbovenop 
A: 	ja tien 
A: 	dit zijn de driehoek bovenop 
A: 	staan bij mij helemaal links bovenin 
B: 	ja bij mij staan die daar ook het zijn G 
A: 	oké 
B: 	het zijn die driehoek 
A: 	driehoek 
A: 	bovenop ja 
B: 	ja sorry 
A: 	tien 
