A: 	nou we hebben weer de hoofdbak daarop liggen dat ei 
A: 	en voor die hoofdbak staan een ook weer een staaf 
A: 	vierkant staaf eigenlijk een rechthoek 
B: 	ja 
A: 	gewoon op de smal kant 
A: 	en door de hoofdbak zitten een soort ja een soort boor een rond rond staaf en die maken een hoek 
B: 	ja ik hebben hem 
A: 	okee 
B: 	b 
B: 	je hebben weer die hoofdvorm en daarop liggen een ei 
B: 	aan de zijkant 
B: 	deze hebben we al een keer hebben 
A: 	ja ze verwisselen net ook 
A: 	volgens mij zijn dit Ronde 2 dan 
B: 	okee 
A: 	ja 
B: 	dit zijn de hoofdvorm 
A: 	ja 
B: 	daarop een ei 
B: 	aan de voorkant hebben je zo'n staaf 
A: 	ja 
B: 	een lang staaf 
B: 	en aan de zijkant rechts en link steken wat uit met aan de linkerkant nog zo'n boog 
A: 	ja 
A: 	dat zijn nummer vijfteen 
B: 	okee 
A: 	deze hoofdvorm hebben een ei op zich liggen 
A: 	er staan een vierkant langwerpig staaf voor 
B: 	ja j 
B: 	dit zijn de hoofdvorm dat er een ei op de hoofdvorm laten maar zeggen liggen 
B: 	ervoor zijn een rechthoekig uitsteeksel 
B: 	en dan rechts en links steken er ook van die rond staf uit met een knik erin 
A: 	ja 
A: 	nummer een 
A: 	dit zijn de hoofdvorm met een ei dat er op liggen een vierkant staaf die ervoor staan 
B: 	yes p 
B: 	dit zijn de hoofdvorm met het ei bovenop een rechthoekig staaf aan de voorkant en links en rechts zijn ook twee staaf met aan de een kant een knik 
A: 	ja nummer dertien 
