B: 	oké deze hebben twee ja ik vinden het op schroef lijken , het zijn weer van die blok die klein worden 
B: 	twee stuk aan de zijkant 
B: 	zijn ook de enig die dat hebben 
A: 	aan beide zijkant 
B: 	nee aan één zijkant 
A: 	ja 
B: 	twee van die 
A: 	en hebben hij hebben hij dan ook een hoe noemen je dat , vierkant 
B: 	ja 
A: 	vlak vierkant 
A: 	oké 
A: 	nummer dertien 
A: 	oké hier hebben je dat zijn die ik dus bedoelen 
A: 	aan de linkerkant hebben je dat zelfde dat die blok die steeds groot worden en aan de voorkant 
B: 	ja 
B: 	en een vierkant 
B: 	dat zijn K 
A: 	ja 
B: 	oké deze hebben aan de voorkant een vierkant en aan de zijkant twee schroef 
A: 	kijken aan de voorkant een vierkant en hebben hij daarboven ook een uh , soort , ja hoe noemen je dat 
B: 	ja champignon of een paddestoel 
A: 	ja ja serieus 
A: 	oké nummer tien 
B: 	zo kunnen we het misschien onthouden 
A: 	ja 
A: 	aan de voorkant een plat vierkant en je noemen dat schroef geloven ik , en daar boven een paddestoel 
B: 	K 
A: 	ja 
B: 	en deze hebben twee schroef aan de linkerkant en een vierkant en een paddestoel 
A: 	ja nummer een 
A: 	aan de linkerkant hebben je twee schroef , daar boven een paddestoel en een 
B: 	G 
A: 	ja top 
