B: 	oké de bal aan de voorkant 
B: 	je hebben je hebben er twee afbeelding van 
A: 	ja 
B: 	de één daar gaan een staaf doorheen met dat cirkel eraan 
B: 	en de ander zitten gewoon aan de voorkant 
A: 	zijn het die 
B: 	en daarbovenop zitten een soort kegel en een kubus 
A: 	ja 
B: 	dat zijn hem 
A: 	ja veertien 
A: 	er zitten een bal voorop 
A: 	er zitten geen balk doorheen 
A: 	daar zijn er ook maar één van 
B: 	oké 
B: 	dat zijn N 
A: 	ja 
A: 	my god oké jij zijn 
B: 	er zitten een bal aan de voorkant 
B: 	dat zijn er maar één 
A: 	zitten er zitten er niet doorheen 
B: 	hij worden gebeuren niks mee ver 
A: 	oké ja 
B: 	zitten er gewoon 
A: 	dat zijn negen 
B: 	ik afvragen me af hoe precies het allemaal gaan zeggen maar of dat het echt heel lomp fout doen worden 
A: 	ja 
A: 	ja want ik denken eerst dat dat dat dat het de plaat eromheen ook iets mee elkaar te maken hebben maar uiteindelijk blijken dat niet zo misschien 
A: 	een bal ervoor 
A: 	met twee uitstekel erin en één aan de zijkant 
A: 	gewoon een heel bal 
B: 	het zullen kunnen er zullen of zullen we dat zullen we moeten beschrijven aan de hand van dinge ernaast 
A: 	ja het zullen wel het handigst zijn denken ik 
A: 	maar weer veel werk zijn 
B: 	ja maar misschien zitten die met zijn twee wel ergens ander 
B: 	oké hoe zitten die eruit 
B: 	we gaan het bij deze wel even proberen 
A: 	hij zitten de mijne die die die degeen die waar een rood vak omheen zitten zijn een bal voor 
B: 	ja 
A: 	en die gewoon één bal 
B: 	en een kegel op 
A: 	maar één van 
A: 	ja een kegel en een drie vierkant rechthoek in zitten er 
B: 	ja en er staan er ook nog één op 
A: 	ja 
B: 	oké 
B: 	one's waar staan die naast 
A: 	hij staan naast de lampenkap met de balk erop 
B: 	ja 
B: 	best wel een stuk 
A: 	best wel een stuk en er staan ook iets boven met een paddenstoel staan er wat staan er best wel vlak boven 
B: 	ja 
A: 	en daaronder zitten ook nog de slurf met de plaat erdoorheen 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	en hoeveel hoeveel keer zullen die daaronder kunnen 
A: 	ik weten niet 
A: 	ik goken misschien twee en een half keer 
B: 	nou dan denken ik dat zijn ook wel een mooi manier om het uit te aanleggen ja 
B: 	er zitten een bol aan de voorkant 
B: 	niks erdoorheen 
B: 	er zijn er maar één van 
A: 	ja 
A: 	dat zijn vijf 
A: 	er zitten een bal voor 
A: 	ik hebben maar één van 
A: 	een ronde bal 
B: 	alleen die met de bal 
A: 	alleen met de bal 
B: 	dat zijn J 
