B: 	dit plaat hebben drie bollet aan allebei de kant 
B: 	en een schijf aan de voorkant en een vierkant aan de onderkant 
A: 	ja 
A: 	dat zeggen maar die drie soort van ruit zeggen maar aan elkaar plakken 
B: 	ja 
A: 	ja 
A: 	oké dat zijn nummer vijf bij mij 
B: 	oké 
A: 	dit zijn die een met die twee identiek vormpjes aan de zijkant zeggen maar 
A: 	met een groot 
A: 	blauw rechthoek of vierkant eronder en daar link dan nog weer zo'n boog uit en op de voorkant zitten ook een cirkel plakken met ook een boog eruit 
B: 	ja 
B: 	met die zes dinget 
A: 	ja 
B: 	oké 
A: 	drie aan beide kant ja 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	dit zijn met die drie dinget link en rechts en een schijf aan de voorkant en het plat aan de onderkant 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	deze hebben die drie dinget link en die drie dinget rechts en die geplakte schijf aan de voorkant met dat tuu en link dat 
B: 	ja 
A: 	tuu en aan de onderkant dat vierkant 
B: 	ja 
B: 	dat zijn bij mij P 
B: 	met die drie dinget link en rechts 
A: 	oké 
B: 	en die schijf aan de voorkant 
A: 	dat zijn nummer negen 
A: 	dit zijn met die zes dinget drie link en drie rechts 
B: 	dat zijn bij mij L 
