A: 	top 
A: 	ok hij hebben een beetje een neus 
A: 	dus eigenlijk een ovaal aan de voorkant of een beetje schuin aan de voorkant en daar zitten eigenlijk een ja stok doorheen en die hebben dan weer een rond aan het uiteinde 
A: 	aan de bovenkant van het kop hebben je eigenlijk weer dat lepel er zitten ver ook niks aan de bovenkant je zien ook niks aan de achterkant 
B: 	ja hij hebben zeggen maar dat stok doorheen daar zitten een cirkel aan 
A: 	ja 
B: 	ok dan 
A: 	aan het uiteinde 
B: 	dan zijn het F 
B: 	o ja ja dit zijn met die neus en daar gaan zo'n balk door die neus en zo'n rond eraan 
A: 	o ja dat 
A: 	en één dinge aan de bovenkant dat zijn vijf 
B: 	ja 
A: 	ja dit zijn ook weer met die neus alleen zitten er dan zo'n stok doorheen met een rond aan het uiteinde 
B: 	ja dat zijn A 
B: 	ja dit zijn die met die neus en dan die balk er doorheen 
A: 	ja dat zijn vijf 
A: 	ja dit zijn die weer die neus met de stang er doorheen 
B: 	ja dat zijn H 
B: 	dit zijn met dat de neus en dan stok er doorheen 
A: 	zijn vijftien 
