A: 	oké deze hebben allemaal ja raar uitsteeksel 
A: 	met een beetje een ovaal uitsteeksel zoals jij zeggen van die mok dus de bovenaan de mok 
B: 	ja 
A: 	en een ovaal uitsteeksel linksvoor 
A: 	en dan hebben die een soort van blok die dan steeds groot worden aan de rechterkant en een soort van slurf linksachter 
A: 	hij hebben in totaal vier uitsteeksel 
B: 	hebben die twee van die balk aan de rechterkant 
A: 	nee 
A: 	nee 
B: 	even kijken hoor 
B: 	vier 
B: 	twee en dan hebben die er één hebben die er links zitten en één omhoog 
A: 	ja 
B: 	uit en dan aan die kant een soort ja legoblokjesopstapeling 
A: 	ja ja 
B: 	en dan nog een slurf aan die kant 
A: 	ja die 
B: 	oké 
B: 	dan zijn het E 
B: 	deze zijn weer die met vier uitsteeksel dus die hebben één zo'n dinge 
A: 	ah 
B: 	zo'n soort legodinge aan de zijkant 
B: 	een klein slurf en nog een 
A: 	oké ja ik weten welk je bedoelen maar ik moeten hem even zoeken 
B: 	even zoeken 
A: 	ah ja 
A: 	oké 
A: 	dat zijn nummer elf 
A: 	dat zijn met die vier uitsteeksel dat slurf en die legoblok 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn die een met die vier uitsteeksel met die legoblok 
A: 	ja even kijken waar die staan 
A: 	ah dat zijn nummer negen 
A: 	dit zijn met al die uitsteeksel dus met die legoblok en die slurf 
B: 	ja 
B: 	even zoeken 
B: 	ja dat zijn B 
B: 	dit zijn weer met die vier uitsteekselt 
A: 	even kijken waar die staan 
A: 	ah nummer vier 
