A: 	ah 
A: 	okee nou nu tekortkomen we bij de tipitent 
A: 	zitten een driehoek bovenop en dat zijn de tipitent 
B: 	ja 
A: 	en dan hebben je linksonder een een rond 
B: 	ja 
A: 	en links hebben je één ja een soort van oog 
A: 	dat eruit komen 
A: 	het beginnen heel smal 
B: 	soort verrekijker 
A: 	ja zijn precies 
B: 	ja 
A: 	en die worden dan steeds bred 
A: 	eindigen wel in cilindervorm dan 
B: 	ja 
A: 	en dan beetje rechtsvoor uitstekend een beetje een een gek blok dat ik niet echt kunnen plaatsen het ja het 
B: 	meerder vorm 
B: 	ik hebben hem denken ik al 
A: 	ja 
B: 	ja 
A: 	okee 
B: 	ik gaan voor b 
B: 	deze hebben een een een pyramidevorm bovenop 
B: 	en een soort verrekijker aan de linkerkant 
B: 	een rond schijf onderaan 
B: 	en een een object waar we allebei nog niet uit zijn komen aan de ander kant 
A: 	wat het nou zijn 
A: 	ja nou dan gaan ik voor nummer een 
B: 	ja 
A: 	dit zijn de tipitent bovenop 
B: 	ja 
A: 	dat raar figuur rechtsvoor waarvan we niet weten wat het zijn 
B: 	uhu 
A: 	linksonder een rond en link verrekijkerachtig ding 
B: 	ja dat zijn voor mij j 
B: 	pyramide op de bovenkant 
B: 	klein rond schijf aan de onderkant 
B: 	ondefinieerbaar object aan rechterkant 
A: 	ja ik zien hem al 
A: 	nummer twee 
A: 	tipitent 
A: 	link verrekijker 
A: 	dat raar blok 
B: 	ja dat zijn p 
A: 	vooraan 
B: 	ondefinieerbaar object en pyramidevorm bovenop 
A: 	nummer dertien 
