A: 	even kijken ik hebben een groot driehoek erbovenop staan 
A: 	en aan linkerkant een uitsteeksel dat steeds bred worden 
A: 	linksonder een blauw rond 
A: 	en rechts ook een uitsteeksel wat 
B: 	een soort van 
B: 	een helling zijn het 
A: 	ja zoiets 
B: 	ja 
B: 	m 
B: 	ik hebben bovenop hebben je die half pyramide 
B: 	en dan rechtsvoor zitten zo'n zo'n zo'n helling 
B: 	onderaan zitten een soort van balle of ik weten niet precies wat het zijn 
B: 	en aan de linkerkant zitten een een soort een kogel lijken het wel ja en steeds bred van 
A: 	de steeds bred worden 
A: 	ja 
A: 	een 
A: 	ik hebben die een met die driehoek bovenop 
A: 	en die kogel aan de linkerkant 
B: 	ja 
B: 	j 
B: 	ik hebben de de half pyramide bovenop 
B: 	en dan de de kogel aan de linkerkant 
B: 	en de aan de rechtsvoor zitten zo'n soort van een een sloop laten maar zeggen 
A: 	ja 
A: 	zeven 
A: 	ik hebben die pyramide bovenop en de kogel 
B: 	ja ja ja waar zitten die 
A: 	en de kogel links 
B: 	zijn die 
B: 	de half pyramide aan de bovenkant en dan de kogel aan de linkerkant 
A: 	ja de kogel 
A: 	vijfteen 
