A: 	okee een een kop 
A: 	lijken wel alsof die een hand uitsteken voor een dienblad 
A: 	dienblad zitten er ook op 
B: 	ja 
A: 	ja en dan nog aan de linkerkant een ander uitsteeksel 
A: 	dat een beetje ja ja 
B: 	soort van snelwegrail 
A: 	even zien 
B: 	of een kabel 
A: 	ah zo ja 
A: 	zullen kunnen 
B: 	misschien wat vergezocht hoor maar 
A: 	ja en er zitten een spijker in gemept 
A: 	zeggen maar 
B: 	ja nee dan denken ik dat ik hem ook wel weten 
A: 	dus dat 
A: 	ja 
B: 	ik gaan voor m 
B: 	dit zijn dat kop met het dienblad aan de rechterkant 
B: 	en een soort van vangrail aan de linkerkant 
A: 	spijker 
A: 	ja 
B: 	en zo'n gek spijker daarin zeggen maar 
A: 	ja 
A: 	nummer dertien 
A: 	dit zijn die een aan de rechterkant met het dienblad 
A: 	aan de linkerkant dat een raar uitsteeksel vangrailding met de spijker erdoorheen 
B: 	ja even kijken dan gaan ik voor m 
B: 	dit zijn de ober met zijn dienblad 
A: 	ah ik zien hem al 
B: 	ja heel goed 
A: 	ja 
A: 	Numero drie 
A: 	deze zijn met het dienblad 
A: 	en de spijker door de vangrail 
A: 	link 
B: 	dienblad spijker door de vangrail ja helemaal goed dat zijn voor mij l 
B: 	de ober met het tafel aan één kant en spijker door vangrail 
A: 	waar zijn die nou ? ah nummer vier 
