A: 	ik hebben één ook bijzonder hij hebben er staan een soort punt een soort 
A: 	hoorn staan erbovenop 
A: 	en dan hebben die link nog ja ik weten niet een heel gek dinge dat bijna het niet aanraakken 
B: 	ja ik zien hem al 
A: 	en rechts nog een figuur en eronder ook nog wat 
B: 	dat onderin zijn een soort rond 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	dat zijn J 
B: 	ik hebben dat ding met die soort driehoek op het hoofd met aan de rechterkant een soort trapezium 
A: 	ja 
B: 	aan de linkerkant zo'n figuur wat het net raken 
A: 	ja dat zijn nummer zes 
B: 	oké 
A: 	dit zijn weer met die soort van punthoed en heel klein dinge dat heel klein beetje aanraken link 
B: 	ja 
B: 	dat zijn E 
B: 	ik hebben die met die soort van driehoek op het hoofd en wat dat dinge wat het net aanraakken 
A: 	yes nummer tien 
A: 	ja 
A: 	ik hebben één helemaal wachten gewoon punthoed klein dinget link dat bijna net niet aanraakken 
B: 	ja 
B: 	G 
B: 	ik hebben met dat dinge wat het net niet helemaal wat het bijna aanraken en met de driehoek bovenop 
B: 	snapen je 
A: 	ja ja 
A: 	nummer tien 
