A: 	oeh 
A: 	ik hebben beschrijven als zeggen maar iets van die elektrisch fiets 
A: 	deze hebben van die die twee hendel en dan zo'n mooi schermpje of zo 
A: 	waar de snelheid op staat en zo 
B: 	ja nou die dat zien zitten allemaal aan de achterkant van dat ding 
A: 	ja 
B: 	of niet 
A: 	ja 
B: 	ik ik vinden hem een beetje op een honkbalknuppel lijken die achter een kop liggen 
A: 	dat kunnen ook 
B: 	ja 
B: 	K 
B: 	nu hebben ik weer die met die met die hoe heten dat ? met die honkbalknuppel 
A: 	ja 
A: 	ja 
A: 	ja oké 
A: 	negen 
A: 	dit zijn ik weten niet veel wat je jij hier veel zeggen die handvat met die wat ik toen zeggen van die elektrisch fiets 
B: 	ja 
A: 	die honk die honk 
B: 	honkbalknuppel 
A: 	ja 
B: 	ja 
B: 	even kijken dat zijn F 
B: 	die honkbalknuppel 
A: 	ah weer opnieuw weten iets 
B: 	hebben ik nu 
A: 	drie 
A: 	de honkbalknop 
A: 	of hoe dat ding heten 
B: 	ja 
B: 	L 
A: 	weer 
B: 	die honkbalknuppel 
B: 	of elektrisch fiets 
A: 	ja vijf 
