A: 	deze hebben een soort hoed op met een uitlaatpijp aan de achterkant en een soort twee twee balk naar de rechterkant 
A: 	het lijken op een soort vorklift 
A: 	zo'n shovelding 
B: 	twee balk aan de rechterkant waar staan die ? ja die 
B: 	ja een soort hoed op zeggen je 
A: 	en dan zo'n uitlaat aan de achterkant 
B: 	ja ja ja ja ja 
B: 	bij mij zijn dat zijn dat nou een I of een L 
B: 	dat zijn de I 
B: 	dan dit zijn met die die twee balk aan de rechts kant 
B: 	en een hoed op 
A: 	ja dat zijn nummer twee 
A: 	dit zijn die een met de uitlaat en het hoed en de twee balk naar de zijkant 
A: 	naar rechts 
B: 	uitlaaten het hoed en de balk naar rechts ja dat zijn bij mij M 
B: 	het hoed en de twee balk aan de rechts kant 
A: 	ja dat zijn nummer negen 
A: 	met het hoed op en de twee balk 
B: 	het hoed en de twee balk zijn bij mij F 
B: 	het hoed en de twee balk aan de rechts kant 
A: 	ja dat zijn zes 
