A: 	oké deze hebben bovenop een soort nou ja laten we het een omgekeerde bloempot noemen 
A: 	en aan de rechterkant twee lat of plank zeggen maar 
A: 	even lang even groot zijn ze 
B: 	een omgekeerde bloem ja ik weten welk je bedoelen dat zijn bij mij I 
B: 	deze hebben twee van die streepjes naar rechts en een soort afgekapte driehoek erbovenop 
A: 	ja dat zijn bij mij twee 
A: 	deze hebben weer die twee plank aan de rechterkant die hetzelfde zijn 
B: 	met dat hoed bovenop soort van 
A: 	weten je dan genoeg 
A: 	met dat hoed bovenop ja 
B: 	dat zijn bij mij M 
B: 	dit zijn weer met die twee streepjes naar rechts 
A: 	met die twee streepjes naar rechts ja dat zijn bij mij negen 
A: 	dit zijn die met die twee plank aan de rechterkant 
B: 	dat zijn bij mij F 
B: 	die met die streepjes naar rechts 
A: 	die met die streepjes naar rechts en dat ding erbovenop dat zijn nummer zes 
