A: 	ik hebben geen rood vierkant 
B: 	nee ik wel 
B: 	er staan zonlicht op 
B: 	er zitten een handvat aan de zijkant 
A: 	ja 
B: 	en een cirkel een beetje schuin erbovenop en er zitten een soort langwerpig knop aan de bovenkant en hij rust op een soort klein standaard 
A: 	en zijn die langwerpig die standaard 
B: 	ja 
A: 	okee 
A: 	maar dat zijn geen bolle zijn veel een soort half half cirkel die je zien 
B: 	ja 
A: 	okee 
A: 	dan denken ik dat ik het wel weten 
B: 	zeggen maar 
A: 	acht 
A: 	volgens mij zijn we rond 
A: 	dit zijn degeen met de half bol bovenop 
A: 	en een veer op zijn hoofd bovenin 
B: 	met een pinokkio-neus 
A: 	of ja een 
A: 	yes 
B: 	okee dan zijn het c 
B: 	ja deze hebben een pinokkio-neus 
B: 	link boven zijn hoofd een cirkel 
B: 	en dan ook nog een soort handvat rechtsboven 
B: 	en deze staan op een één ja een langwerpig 
A: 	langwerpig hals 
B: 	ja 
A: 	okee dat zijn dertien 
A: 	deze hebben de half cirkel op zijn hoofd met een veer en een pinokkio-neus 
B: 	ja dat zijn a 
A: 	link 
B: 	pinokkio-neus 
B: 	waterdruppel aan de bovenkant 
B: 	rond en dat ding waar die op staat 
A: 	maar een rond een bal ? nee 
A: 	wachten even hoor 
B: 	ja het lijken een half cirkel maar het lijken ook door te inlopen 
A: 	ja vijf 
A: 	half bol met pinokkioneus 
B: 	ja dat zijn f 
