A: 	deze hebben onder het kop een soort uitstulpsel en dat hebben die aan de rechterkant ook het zijn een soort van twee van die grijpar 
A: 	en dan komen er nog een balk uit een beetje zo'n Pinokkioneusidee 
A: 	en dan erbovenop zitten nog een een kantelen vierkant waar ook twee van die kubus die zeggen maar steeds groot worden 
A: 	die komen eruit 
B: 	ja dat zijn N 
B: 	dit zijn weer diegene met het vierkant kantelen dat dat Erboven uitsteekt 
B: 	en twee van die oplopen kubus uit dat vierkant 
A: 	ja en dan nog drie armding 
B: 	eruit 
B: 	en 
B: 	ja ja 
A: 	ja oké 
A: 	negen 
A: 	dit zijn die met met die vierkant aan de bovenkant en dan twee van die groot worden kubus die eruit steken 
A: 	en dan nog drie arm aan de rechterkant die eruit steken aan de onderkant en de zijkant en de voorkant 
B: 	ja met die kubus aan allebei de kant van het 
A: 	ja ja ja ja ja 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn die met die ruit of het vierkant erboven uitstekend met de kubusjes die groot worden 
A: 	elf 
B: 	en en nog 
A: 	dit zijn met dat kantelen vierkant aan de bovenkant waar die twee kubus uit komen die steeds groot worden 
A: 	en dan drie arm 
B: 	ja ja dat zijn D 
B: 	dit zijn weer met dat vierkant erbovenop met de groot worden kubus aan allebei de kant van dat vierkant 
B: 	en nog de drie armp 
A: 	veertien 
