A: 	one's deze hebben eigenlijk aan beide kant een soort van ja uitsteeksel rond en dan zijn de een lang dan de ander 
A: 	en dan hebben die linksachter een soort van vierkant met een soort staart eraan 
B: 	ja 
B: 	ja 
B: 	dan weten ik al welk het zijn dan zijn het K 
B: 	dit zijn weer die dat kop met die twee arm waarvan de een lang zijn dan de ander 
A: 	ja 
B: 	met dat vierkantje met een poo eraan 
A: 	ja 
A: 	nou zeggen kunnen hem niet vinden 
A: 	een lang dan de ander 
A: 	ik oké dan weten ik niet of we dezelfde hebben 
A: 	nee 
A: 	oké wachten omschrijf hem nog eens 
B: 	het zijn zeggen maar een een pot en dan zitten er ja ik denken dat het een soort van knuppel zijn die erachter zitten of zo 
A: 	ja 
B: 	maar aan de rechterkant zijn die dan iets lang dan aan de linkerkant 
A: 	ja 
B: 	en daarachter zijn een soort scherm die op een voetstuk staan 
B: 	je hebben hem straks ook omschrijven 
A: 	ja maar ik kunnen hem gewoon nu niet vinden 
A: 	even kijken hoor 
A: 	ja inderdaad ik zien hem oké nummer negen 
A: 	dat zijn die een met die ongelijk arm eigenlijk die ik toestraks niet kunnen vinden 
B: 	ja 
B: 	dat zijn F 
B: 	dit zijn weer met die knuppel aan de achterkant met dat een ding lang dan de ander 
B: 	en met dat dinge 
A: 	wachten die die twee ongelijk arm bedoelen je 
B: 	ja die twee ongelijk arm ja 
A: 	en dan zo'n vierkan erachter 
B: 	ja 
A: 	ja oké dat zijn nummer drie 
A: 	dat zijn met die twee ongelijk arm en ja die dat vierkantje achter met die staart 
B: 	arm 
B: 	ja 
B: 	ja dat zijn L 
B: 	dit zijn weer met die een arm lang dan de ander 
A: 	ah dat zijn nummer vijf 
