A: 	nou dat duren even 
B: 	gaan zo goed 
A: 	ja 
A: 	nee 
A: 	dit zijn het komme en daarbovenop zitten die koffiefiltervorm dus een soort bak omgekeerd en daarnaast zitten twee blok die even groot zijn rechts zitten die 
B: 	ja 
B: 	ja en dan links aan de onderkant nog een hoeken poo 
A: 	ja een draaiink en en dan nog soort wijzer van een klok naar links ook 
B: 	ja ja ja 
B: 	yes dat zijn n 
A: 	ja 
B: 	deze hebben het koffiefilter achtig ding bovenop en de twee staf aan de zijkant 
A: 	die even groot zijn 
B: 	ja 
A: 	acht 
A: 	ik hebben nu diegene met die omgekeerde koffiefilter en die twee aan de rechterkant gelijkwaardig 
B: 	yes dat zijn f 
B: 	deze hebben het koffiefilter en de twee balk aan de rechterkant 
A: 	twee balk aan de 
A: 	ja vijf 
A: 	dit zijn met het koffiefilter en de twee balk die even groot zijn aan de rechterkant 
B: 	ja dat zijn n 
B: 	dit zijn de koffiefilter en de twee gelijk balk 
A: 	een veertien 
