B: 	oké deze hebben een soort van plat rechthoek aan de bovenkant 
A: 	plat rechthoek aan de bovenkant 
B: 	en een soort van ja een rondachtig dinge aan de linkerkant met een plat onderkant zegmaar 
A: 	een rondachtig ding aan de onderkant zeggen je 
B: 	ja linkerkant 
B: 	soort van een soort van driehoekachtig vorm maar dan rond 
B: 	zegmaar 
A: 	ja ja een kegel 
B: 	ja veel een soort kegel inderdaad 
A: 	die zitten bovenop 
A: 	of zitten er 
B: 	nee aan de linkerkant 
B: 	aan de bovenkant plat rechthoek 
A: 	aan de linkerkant 
B: 	en dan soort van rechts hebben je nog een soort van stok klein stok op een soort van driehoekig uitsteeksel ding 
A: 	ja ja 
A: 	suur 
B: 	ja 
A: 	dat zijn denken ik ja en dan aan de aan de linkerkant hebben je een soort van dat het schuin aflooppen 
B: 	ja ja precies ja 
A: 	ja ja oké 
A: 	dat zijn dertien 
A: 	oké nou ja dit zijn weer met zo'n ja zo'n rechthoekig balk erbovenop 
A: 	en aan de rechterkant zo'n klein heel klein cilinder en een plaat die eruit steken 
A: 	en dan bovenop zitten er zo'n balk als het zijn 
B: 	bovenop zitten een balk 
A: 	bovenop die kop 
B: 	maar zo heel klein ? zegmaar klein dan het 
A: 	net klein dan het kop 
B: 	ja 
B: 	met in de met zo dat aan de linkerkant zo die cilinderachtig 
A: 	ja zijn die afloopt 
B: 	ja oké 
A: 	ja ja 
B: 	ja oké dat zijn D 
B: 	ja dit zijn die weer met die soort van aflopen cilinder aan de zijkant 
A: 	ja 
B: 	met dat balk aan de bovenkant 
A: 	dat zijn even zoeken 
A: 	ja ja ja dat zijn vijf 
A: 	ja dit zijn weer met het balk aan de bovenkant en die aflopen dat aflopen ding aan de rechterkant 
B: 	even kijken 
A: 	of oplopen ja 
B: 	waar zitten hij 
B: 	ja of aan de linkerkant 
A: 	aan de linkerkant ja 
B: 	dat ja oké 
B: 	H zijn dat 
A: 	zeggen ik rechts 
B: 	ja dit zijn weer met die aflopen cilinder aan de zijkant met het balk 
A: 	ja 
A: 	tien zijn dat 
A: 	en dit zijn weer met dat schuinaflopen ding aan de linkerkant 
B: 	met die 
A: 	en dat balk erbovenop 
B: 	met de balk ja ja oké 
B: 	ja oké dat zijn H 
