B: 	okee dan gaan we weer weer de beker en dan daar zitten een horizontaal vierkant plaat opsteken daar zo doorheen en dan hebben je een soort IStekentje die zo omhoog komen 
B: 	dus het misgaan vooral om die horizontaal schijf ja 
A: 	ja zeven 
B: 	okee 
A: 	deze hebben een vierkant aan er doorheen een vierkant plaat zeggen maar en dan twee heel klein staafjes bovenop 
B: 	ja j 
B: 	dit zijn de emmer waar de horizontaal plaat erdoorheen snijden en dan die twee dinget zo omhoog steken 
A: 	ja negen 
A: 	dit zijn die met twee klein uitsteekseltjes bovenop en een schijf erdoorheen vierkant schijf erdoorheen 
B: 	ja 
B: 	e 
B: 	dit zijn de vierkant plaat die doorheen snijden en dan die twee dinget uitstekend 
A: 	ja 
A: 	twaalf 
A: 	dit zijn die met die twee klein dinge erbovenop en vierkant erdoorheen 
B: 	ja 
B: 	c 
