A: 	oké deze hebben een best wel lang balk voor zich staan 
A: 	en een bolle bovenop 
B: 	en hebben die nog twee van die 
A: 	ja 
B: 	oké dan zijn het D 
B: 	deze hebben de bol bovenop 
A: 	de bol bovenop en dan die balk er ervoor 
B: 	ja 
A: 	oké dat zijn bij mij vijftien 
A: 	deze hebben de bol bovenop en dan de die groot balk aan de voorkant 
B: 	zijn 
A: 	en die twee dinge aan de zijkant 
B: 	zijn L 
B: 	deze zijn weer met die bol bovenop en die staaf ervoor 
A: 	ja dat zijn bij mij zes 
A: 	deze hebben de bol bovenop en dan de balk daarvoor 
B: 	dat zijn bij mij J 
B: 	met die bal bovenop en die dat blok ervoor 
A: 	ja dat zijn nummer drie 
