A: 	oeh deze zijn wel deze vinden ik best wel raar het zijn een soort van ja een soort van Pinokkio met een raar hoed met een soort van 
A: 	vierkant hoed met de met iets erdoorheen 
B: 	ja ik noemen het altijd Pinokkio's met hand 
A: 	ja die ander ja Pinokkio met de hand en een soort van ding eronder nog een soort van klein lijf wat eraan zitten 
B: 	ja 
B: 	ja 
B: 	hij lijken hij kijken ook naar rechts 
A: 	ja 
B: 	en hij hebben zeggen maar een een staaf als neus en inderdaad er zitten een soort van pijl door zijn hanenkam 
A: 	ja 
A: 	ja die 
A: 	ja die 
B: 	ja 
A: 	ja 
B: 	dan hebben we het over M 
B: 	M driepoot 
B: 	dit zijn Pinokkio met het dinge door zijn hanenkam met de pijl door zijn hanenkam 
B: 	met zijn hand zo omhoog ook zo'n 
A: 	ja en die en dat ding aan de onderkant 
B: 	ja precies 
A: 	dat zijn Numero negen 
A: 	dit zijn die heel gek 
A: 	hij vallen een beetje weg trouwens in het scherm zien ik 
A: 	met die met die met dat uitstulping aan de onderkant en dat armp aan de rechterkant 
A: 	en met zo'n half vierkantje op zijn hoofd wat zo doorboren zijn 
B: 	pinokkio met de met een een soort van pijl door zijn 
A: 	dat 
A: 	Pinokkio met eigenlijk pinokkio met arm 
B: 	met arm 
B: 	ja 
A: 	en dat ding beneden 
B: 	en een pijltje door zijn hanenkam 
A: 	ja ja ja ja 
B: 	dan gaan het om H 
B: 	dit zijn Pinokkio met het dinge door de hanenkam 
A: 	Pinokkio met dinge door de hanenkam dat zijn Numero elf 
A: 	de Pinokkio met de hanenkam 
B: 	met het pijlt erdoorheen 
A: 	ja 
B: 	dan worden dat nummer D 
B: 	dit gaan om Pinokkio met de hanenkam en de pijl erdoorheen 
A: 	dat zijn Numero veertien 
