A: 	nou we hebben we hebben weer de hoofdbak aan beide kant steken twee staf uit die aan de uiteinde bekleed zijn met een rond bolletje 
A: 	en aan de achterkant van de hoofdvorm hebben je een vierkant plateaut met een uitsteeksel naar beneden 
B: 	ja 
B: 	dat zijn d 
A: 	ja 
B: 	weer de hoofdvorm dan hebben je aan de zijkant rechts en links maar aan de rechts zijn een lang stuk soort van een rond buis dat uitsteken met daar een bol aan de aan de 
B: 	weten je wat ik bedoelen 
A: 	ja 
B: 	ja 
A: 	en een vierkantje aan de achterkant 
B: 	ja 
A: 	ja nummer vijf 
A: 	dit zijn de hoofdvorm met die uitsteeksel aan beide kant waarbij er bolle op zijn plakken 
A: 	aan de uiteind en dan ja achterkant een vierkant 
B: 	ja 
B: 	m 
B: 	dit zijn de hoofdvorm dat aan de rechterkant en linkerkant maar aan de rechterkant lang een buis zitten met aan de ander met aan de uiteinde een cirkelplateau en daarachter zitten een staat een schuin vierkant 
B: 	en daarachter zitten een staat een schuin vierkant 
A: 	ja 
A: 	negen 
A: 	dit zijn weer de hoofdvorm met aan beide kant iets uitstekends ronds uitstekends met dop erop 
A: 	en links achter de hoofdvorm hebben je een vierkant plateaut met een uitsteeksel 
B: 	vierkant 
B: 	k 
B: 	dit zijn de hoofdvorm waarbij er twee schuin buizen zijn aan de rechter en linkerkant met een plateau dat het afsluiten en dan achter staat een schuin vierkant 
A: 	even kijken hoor 
A: 	nog één keer 
B: 	nou rechts en links waarbij het rechts lang zijn zijn twee hol buizen met een cirkelplateau dat het afsluiten 
A: 	ja ja ja 
A: 	nummer vijf 
