A: 	dit zijn het figuur waar een soort van piramide of een driehoek bovenop staan 
B: 	die 
B: 	dat zijn en dan hebben die een ding voor en een raar ding links 
A: 	ja precies en een soort van cirkel onderaan 
B: 	ja dat zijn 
B: 	ja 
B: 	J 
B: 	dit zijn die een met de punt boven op dat driehoek 
A: 	ja zijn bij mij nummer zes 
A: 	ik hebben die met die piramide bovenop 
B: 	de piramide bovenop 
A: 	of het driehoek 
B: 	driehoek en dan een vaag dinget links en 
A: 	ja 
A: 	zo'n blok rechts 
B: 	ja 
A: 	beetje in het midden 
B: 	dat zijn E 
B: 	dit zijn die een met de driehoek bovenop 
A: 	ja 
B: 	de punt 
A: 	nummer tien 
A: 	ik hebben die met dat driehoek bovenop 
B: 	ja 
B: 	dat zijn G 
B: 	ik hebben die met de driehoek bovenop 
A: 	nummer tien 
