A: 	even kijken dit zijn best wel zo'n druk 
A: 	het hebben aan de onderkant hebben het een soort ja laten maar zeggen uitstulpje en een soort hand wat daar hangen 
B: 	wachten aan de onderkant 
A: 	aan de onderkant ja 
B: 	okee 
A: 	dan kunnen je daar naar kijken 
A: 	daarnaast hebben het boven hebben het een soort laten maar zeggen alsof je in een cocktail een soort citroen daarnaast hebben plaken 
B: 	ah ja 
A: 	en dan zijn het echt een soort vierkantje wat daar zeggen maar aan de bovenkant uitsteken en dan uit dat vierkantje lopen nog twee dinge in 
A: 	alsof je een cocktailglas hebben met een soort citroen maar dan een vierkantje 
B: 	ja 
A: 	en dan hebben het aan de onderkant zo'n hand en daar rechts hebben het ook een soort ja twee uitsteeksel 
B: 	ja 
B: 	ja 
B: 	okee dan zijn het b 
A: 	okee 
B: 	dit zijn die met die citroen in het glas 
A: 	ja welk zijn het ook alweer 
B: 	met even kijken door de citroen ook die twee staaf en een staaf onderaan het glas 
A: 	ja 
B: 	en aan de rechterkant ook nog twee staaf 
A: 	ja en dus een soort dinge 
B: 	ja 
A: 	ja dat zijn nummer acht 
A: 	ja dat zijn dat cocktail citroen wat aan het bekert zitten zeggen maar 
B: 	ja 
B: 	dat zijn l 
B: 	cocktail met citroen erin 
A: 	waar zijn die 
A: 	ja nummer drie 
A: 	cocktail citroen aan het beker 
B: 	ja 
B: 	dat zijn g 
B: 	de cocktail met de citroen 
A: 	ja dat zijn nummer vijf 
