A: 	oké 
A: 	ja ik vinden dit een kraan 
B: 	kraan 
A: 	ja 
B: 	beetje met twee van die ding op de voorkant of 
A: 	nee bovenop zien je een een een kantelen vierkant met van die ja echt van die kraan eraan en aan de onder onder alsof het een wasbak zijn 
B: 	hebben die zo'n voet 
B: 	zo'n 
A: 	ja hij hebben een één 
B: 	of die een wasbak zijn even 
A: 	hij hebben één arm 
B: 	wachten 
B: 	ja één die zo en dan één zo 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	M 
B: 	even kijken deze hebben dat met wat jou aan wat jou aan een kraantje doen denken 
B: 	die met zo'n dinge 
A: 	ja 
A: 	ja en aan de zijkant en ja 
B: 	ja 
B: 	en aan de onderkant ja 
A: 	negen 
A: 	het kraan 
B: 	kraan kraan 
B: 	met dat dinge aan de onderkant 
A: 	ja 
B: 	ja 
B: 	H 
B: 	dit zijn dat kraan 
B: 	met dat dinge aan de onderkant en dat dinge aan de zijkant 
A: 	ja 
A: 	zijn elf 
A: 	het kraan 
B: 	d 
B: 	dat kraan 
A: 	ja veertien 
