B: 	oké het plaat hebben 
B: 	zeggen maar zo'n plat vierkant ding dwars door het ja tegen de onderkant aan van het kop 
B: 	en dan zitten er nog een soort van rond buis aan de voorkant 
B: 	en aan de linkerkant zitten er nog een vierkant staaf met een hoek erin 
B: 	en aan de bovenkant zitten nog twee van die ministaaf 
A: 	ja 
A: 	ja dat plaat gaan er wel doorheen dan toch 
B: 	ja 
A: 	ja 
B: 	zeggen maar ja dwars of hoe noemen je dat 
A: 	ja ja ja 
B: 	zo erdoorheen 
A: 	oké dat zijn dan zes 
A: 	dit zijn het ja het kop met op één drie van de onderkant zo'n vierkant plateau 
A: 	en aan de voorkant zo'n rond staaf 
A: 	aan de bovenkant twee van die punt en dan dat haak aan de rechterkant 
B: 	ja aan de bovenkant twee 
B: 	ja 
B: 	dat zijn C 
A: 	linkerkant trouwens 
B: 	ja 
A: 	ja 
B: 	C 
B: 	dit zijn die met de vierkant plaat er dwars doorheen 
B: 	en dan twee van die punt bovenop 
B: 	en aan de voorkant nog een rond staaf en links nog een hoekig ding 
A: 	ja 
A: 	dat zijn dertien 
A: 	dit zijn die met dat horizontaal vierkan ja door de helft net 
A: 	en dan die twee punt bovenop dat gehaakken dinge aan de en die rond staaf voorkant 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn die met het vierkant plateau er dwars doorheen 
B: 	en die twee punt aan de bovenkant 
A: 	ja 
A: 	met die haak 
B: 	ja 
A: 	dat zijn negen 
A: 	dit zijn die met die plateau door het midden met die twee punt boven haak 
B: 	oké dat zijn N 
