B: 	het voelen alsof deze persoon één of dit kop een tafel vasthouden heel hoog met een piramide op zijn kop 
B: 	erop 
A: 	ja 
A: 	en nog een heel klein dinge aan de linkerkant 
B: 	ja 
B: 	heel klein dinge aan de achterkant 
A: 	ja 
A: 	zeven 
B: 	ja 
A: 	bovenin van het kop zitten een soort van plateau en daarop staan een een ja lijken een beetje op een tafel die plateau en daarop staan een klein figuurt 
B: 	ja 
B: 	piramide op zijn kop 
A: 	ja 
B: 	ja oké A 
B: 	houden een tafel vast met omgedraaide piramide erop en heel klein staart erachter 
B: 	tafel heel hoog aan het houden zijn , met omgedraaide piramide op de voorkant 
A: 	even kijken 
A: 	omgekeeren 
B: 	en er opstaan op die tafel staan twee poot die uitsteken 
A: 	ja ja ik hebben hem zestien 
A: 	een tafel bovenin met zo'n op de kop piramide 
B: 	ja 
B: 	F 
B: 	houden tafel vast 
B: 	piramide op zijn kop erop 
B: 	klein staart achter 
A: 	ja 
A: 	elf 
A: 	tafel bovenaan en daar staan een op de kop een piramide op 
B: 	ja 
B: 	d 
